ID,BRD,Date/Collection
Dairy1,Healthy,8/12/20
Dairy2,Healthy,7/21/20
Dairy3,BRD,7/14/20
Dairy4,Healthy,7/14/20
Dairy5,Healthy,7/21/20
Dairy6,Healthy,7/14/20
Dairy7,BRD,7/14/20
Dairy8,Healthy,7/14/20
Dairy9,Healthy,7/14/20
Dairy10,Healthy,7/21/20
Dairy11,BRD,7/21/20
Dairy12,BRD,7/21/20
Dairy13,BRD,7/21/20
Dairy14,BRD,7/14/20
Dairy15,BRD,7/21/20
Dairy16,BRD,9/30/20
Dairy17,Healthy,7/14/20
Dairy18,BRD,7/14/20
Dairy19,Healthy,7/14/20
Dairy20,Healthy,8/12/20
Dairy22,Healthy,8/26/20
Dairy23,Healthy,9/10/20
Dairy24,Healthy,8/19/20
Dairy25,Healthy,8/19/20
Dairy26,Healthy,9/10/20
Dairy27,BRD,8/12/20
Dairy28,BRD,8/19/20
Dairy29,BRD,8/12/20
Dairy30,Healthy,8/26/20
Dairy31,Healthy,8/19/20
Dairy32,Healthy,8/12/20
Dairy33,Healthy,11/18/20
Dairy34,Healthy,11/18/20
Dairy35,BRD,11/4/20
Dairy36,Healthy,11/18/20
Dairy37,Healthy,10/28/20
Dairy38,BRD,10/28/20
Dairy39,Healthy,11/18/20
Dairy40,Healthy,10/28/20
Dairy41,Healthy,11/11/20
Dairy42,BRD,10/28/20
Dairy43,Healthy,11/18/20
Dairy44,Healthy,11/4/20
Dairy45,Healthy,10/28/20
Dairy46,BRD,11/4/20
Dairy47,Healthy,10/28/20
Dairy48,BRD,10/28/20
Dairy49,BRD,10/28/20
Dairy50,BRD,11/4/20
Dairy51,Healthy,11/4/20
Dairy52,Healthy,11/4/20
Dairy53,BRD,11/4/20
Dairy54,BRD,12/2/20
Dairy55,Healthy,12/2/20
Dairy56,Healthy,12/2/20
Dairy57,Healthy,10/28/20
Dairy58,BRD,11/18/20
Dairy59,Healthy,11/18/20
Dairy60,BRD,11/11/20
Dairy61,Healthy,11/11/20
Dairy62,Healthy,7/21/20
Dairy63,Healthy,7/21/20
Dairy64,Healthy,8/12/20
Dairy65,BRD,8/12/20
Dairy66,Healthy,8/26/20
Dairy67,BRD,8/26/20
Dairy68,BRD,7/14/20
Dairy72,BRD,8/26/20
Dairy74,BRD,9/10/20
Dairy75,Healthy,8/26/20
Dairy76,Healthy,7/14/20
Dairy77,BRD,8/26/20
Dairy78,BRD,8/26/20
Dairy79,BRD,9/10/20
Dairy80,Healthy,9/10/20
Dairy81,Healthy,9/30/20
Dairy82,Healthy,8/26/20
Dairy83,Healthy,7/14/20
Dairy84,Healthy,8/26/20
Dairy85,BRD,8/26/20
Dairy86,Healthy,8/26/20
Dairy88,BRD,7/21/20
Dairy90,Healthy,9/30/20
Dairy92,BRD,10/14/20
Dairy93,BRD,10/14/20
Dairy94,BRD,8/19/20
Dairy95,BRD,9/10/20
Dairy96,Healthy,9/10/20
Dairy97,Healthy,9/10/20
Dairy98,BRD,9/10/20
Dairy99,Healthy,10/14/20
Dairy100,BRD,9/10/20
Dairy101,BRD,9/30/20
Dairy102,Healthy,10/14/20
Dairy103,BRD,10/14/20
Dairy104,Healthy,9/30/20
Dairy106,BRD,9/30/20
Dairy107,BRD,9/30/20
Dairy108,Healthy,10/14/20
Dairy109,Healthy,11/11/20
Dairy110,BRD,12/2/20
Dairy111,BRD,8/19/20
Dairy112,Healthy,11/11/20
Dairy113,BRD,11/18/20
Dairy114,BRD,11/11/20
Dairy115,Healthy,8/12/20
Dairy116,BRD,12/2/20
Dairy117,Healthy,11/11/20
Dairy118,Healthy,12/2/20
Dairy119,Healthy,11/18/20
Dairy120,Healthy,8/12/20
Dairy121,Healthy,11/4/20
Dairy122,Healthy,12/2/20
Dairy123,BRD,11/18/20
Dairy124,Healthy,11/11/20
Dairy125,BRD,12/2/20
Dairy126,Healthy,12/2/20
Dairy127,BRD,11/4/20
Dairy128,Healthy,12/2/20
Dairy129,BRD,11/11/20
Dairy130,BRD,12/2/20
Dairy131,BRD,8/12/20
Dairy132,BRD,8/12/20
Dairy133,BRD,7/21/20
